mcc_code,name_mon
4011,Төмөр замын ачаа тээвэр
4112,Төмөр замын зорчигч тээвэр
4511,Агаарын ачаа болон зорчигч тээвэр
4789,Бусад тээврийн үйлчилгээ
780,Орчны тохижилтын үйлчилгээ
1740,"Чулуун буюу тоосгон өрлөг, засал чимэглэлийн үйлчилгээ"
2741,"Төрөл бүрийн хэвлэх, хувилах үйлчилгээ"
2791,"Үсэг өрөх, хэв бэлдэх үйлчилгээ"
2842,Цэвэрлэгээ үйлчилгээ
4131,Автобусны шугамын үйлчилгээ
4214,"Том оврын ачааны машины үйлчилгээ - хол болон ойрын зайн нүүлгэлт, хүргэлтийн үйлчилгээ"
4215,Шуудангийн үйлчилгээ
4225,Агуулах болон хадгалалтын үйлчилгээ
4814,Харилцаа холбооны үйлчилгээ
4821,Цахилгаан холбооны үйлчилгээ
5937,Эртний эдлэл засварлах үйлчилгээ
7210,"Угаалга, цэвэрлэгээний үйлчилгээ"
7261,"Оршуулга, чандарлах үйлчилгээ"
7298,"Эрүүл мэнд, гоо сайхны үйлчилгээ"
7299,Бусад үйлчилгээ
7311,Зар сурталчилгааны үйлчилгээ
7342,Устгалын үйлчилгээ
7349,"Цэвэрлэгээ, арчилгаа"
7372,Компьютерын програмчлалын үйлчилгээ
7375,Мэдээллийн лавлах үйлчилгээ
7379,Компьютер засварын үйлчилгээ
7392,"Зөвлөх, олон нийттэй харилцах үйлчилгээ"
7394,Тоног төхөөрөмжийн түрээсийн үйлчилгээ
7395,Зураг засварын үйлчилгээ
7399,Бусад бизнесийн үйлчилгээ
7513,"Том оврын машин, чиргүүл түрээслэх үйлчилгээ"
7535,Автомашин будаж засах үйлчилгээ
7549,"Ачих, чирэх үйлчилгээ"
8911,Архитектур зураг төслийн үйлчилгээ
8931,Нягтлан бодох бүртгэлийн үйлчилгээ
8999,Мэргэжлийн үйлчилгээ
5521,"Хуучин моторт тээврийн хэрэгслийн худалдаа, үйлчилгээ, сэлбэг болон түрээс"
8111,"Хуулийн зөвлөгөө, өмгөөллийн үйлчилгээ"
7276,Татварын зөвлөгөө өгөх үйлчилгээ
7277,Зөвлөгөө өгөх үйлчилгээ
8398,Буяны байгууллага болон хандив цуглуулах үйл ажиллагаа
8641,"Иргэдийн, нийгмийн, ах дүүсийн нийгэмлэг"
8651,Улс төрийн байгууллага
8661,Шашны байгууллага
8675,Автомашин сонирхогчдын холбоо
8699,Гишүүнчлэлийн байгууллага
8734,Шинжилгээ судалгааны лаборатори
9222,Төрийн үйлчилгээний байгууллагуудын торгууль
9311,Татвар төлөлт
9399,Төрийн бусад үйлчилгээ
7999,Бусад амралт зугаалгын газар
7929,Хамтлаг дуучид
7998,Аквариум
7361,Ажил олгох агентлаг
7393,Мөрдөх агентлаг
7512,Машин түрээсийн газар
7523,"Машины зогсоол, гарааш"
4784,"Зам, гүүрний хураамж"
5541,Автомашины үйлчилгээний цэгүүд
5542,Шатахуун түгээх газар
5983,Шатахууны жижиглэн худалдаа /non-automotive/
7992,Гольфын сургалт
7993,Видео тоглоомын хэрэгсэл худалдаа
7995,Мөрийтэй тоглоомын газар
7932,"Биллиард, усан сан"
7933,Боулингийн газар
7829,"Зураг авалт, видео бичлэгийн газар"
7841,Видео хуурцаг түрээсийн газар
7922,Үзвэр үйлчилгээний билетийн касс
7012,Амралтын байр
7032,"Спорт, амралт зугаалгын газар"
7991,"Музей ба түүхийн дурсгалт газар, байшин барилга үзүүлэх үйл ажиллагаа, үзэсгэлэн"
7996,"Цэнгэлдэх хүрээлэн, парк болон цэцэрлэгт хүрээлэнгийн үйл ажиллагаа"
7622,Цахилгаан барааны засвар
7623,"Агааржуулалт, хөргөлтийн систем засвар"
7629,Гэр ахуйн жижиг хэрэгсэл засвар
7631,"Цаг, үнэт эдлэл засвар"
7641,Тавилга засвар
7692,Гагнуур
7699,Бусад засварын газар
7531,Автомашин засвар
7538,Автомашины үйлчилгээ үзүүлэх газар
7251,Гутал засвар/малгай цэвэрлэгээ
5814,Түргэн хоолны газар
5462,Нарийн боовны газар
5811,Хоол хүнс нийлүүлэгч
6051,Банк бус санхүүгийн байгууллага
6211,Үнэт цаасны брокер/дилер
6513,Үл хөдлөх хөрөнгийн агентлаг
7321,Зээлийн мэдээллийн агентлаг
6011,АТМ-ын гүйлгээ
5933,Ломбард
1520,Ердийн гэрээт ажилчид
1711,"Халаалт, сантехник, агааржуулалт"
1731,Цахилгаан техник
1750,"Мужаан, дархан"
1761,Дээврийн ажил
1771,Бетон зуурмагийн ажил
1799,Бусад үйлчилгээний гэрээт ажилчид
5697,Оѐдолчин
7211,Угаалгын газар
7217,"Хивс, бүрээсний цэвэрлэгээ"
7221,Гэрэл зургийн студи
7230,"Үсчин, гоо сайхны салон"
7296,Хувцас түрээс
7297,Массажны газар
5599,"Бусад машин, тоног төхөөрөмжийн худалдаа"
5044,"Гэрэл зураг хэвлэх, хувилах тоног төхөөрөмж, дагалдах хэрэгслийн нийлүүлэлт"
5045,"Компьютер, түүний дагалдах хэрэгсэл, програм хангамжийн төрөлжсөн нийлүүлэлт"
5046,Бусад үйлдвэрлэлийн тоног төхөөрөмжийн нийлүүлэлт
5047,"Эрүүл мэнд, шүд, нүд болон эмнэлгийн тоног төхөөрөмж, дагалдах хэрэгслийн нийлүүлэлт"
5065,"Цахилгааны тоног төхөөрөмж, дагалдах хэрэгслийн нийлүүлэлт"
5072,"Техник хэрэгсэл, дагалдах хэрэгслийн нийлүүлэлт"
5074,"Сантехник, дулааны шугам сүлжээний тоноглол, дагалдах хэрэгслийн нийлүүлэлт"
5094,"Үнэт чулуу, метал, цаг, үнэт эдлэлийн нийлүүлэлт"
5099,Бусад удаан эдэлгээтэй бараа бүтээгдэхүүний худалдаа
5111,"Бичиг хэрэг, оффисын хангамж, бичгийн болон хэвлэлийн цаасны нийлүүлэлт"
5122,"Эм, эмийн бүтээгдэхүүн, эрүүл мэндийн жижиг хэрэгслийн нийлүүлэлт"
5131,Төрөлжсөн бус барааны нийлүүлэлт
5137,"Дүрэмт хувцас, ажлын хувцасны нийлүүлэлт"
5139,Гутлын ханган нийлүүлэлт
5169,"Химийн бодис, бусад холбогдох бүтээгдэхүүний нийлүүлэлт"
5199,Богино хугацаанд хэрэглэгдэх бараа бүтээгдэхүүний нийлүүлэлт
5691,Эрэгтэй эмэгтэй бэлэн хувцас
763,Хөдөө аж ахуйн нэгдэл
4121,"Такси, дуудлагын үйлчилгээ"
4899,"Кабель,  сансрын  хиймэл  дагуулаар  телевизийн  шууд  нэвтрүүлэг  дамжуулалт болон бусад төлбөртэй зурагт, радио"
4900,"Орон сууцны контор, СӨХ, ХҮТ"
5085,Бусад үйлдвэрлэлийн бараа нийлүүлэлт
5198,"Будаг, лак, орлох бүтээгдэхүүний нийлүүлэлт"
5511,"Шинэ болон хуучин моторт тээврийн хэрэгслийн худалдаа, үйлчилгээ, сэлбэг болон түрээс"
5965,"Шууд маркетинг, каталог ашиглан бүтээгдэхүүн борлуулагч"
6399,Даатгалын үйлчилгээ
